,No. of similar Instances,Similar Instances,Similar Instances Shared Label,Accuracy,f1-score,Annotator
24,4,"[101, 70, 191, 88]",1,1.0,1.0,2
71,4,"[0, 13, 125, 192]",0,0.0,0.0,2
9,3,"[10, 8, 80]",1,0.6666666666666666,0.4,2
80,1,[79],1,0.0,0.0,2
75,1,[77],0,1.0,1.0,2
133,1,[183],1,1.0,1.0,2
183,1,[50],1,1.0,1.0,2
122,1,[126],0,1.0,1.0,0
101,1,[160],1,1.0,1.0,0
68,1,[20],0,0.0,0.0,0
134,1,[138],1,1.0,1.0,0
138,1,[137],1,1.0,1.0,0
15,1,[184],1,0.0,0.0,4
8,1,[76],1,0.0,0.0,3
83,3,"[173, 7, 129]",1,0.6666666666666666,0.4,3
135,2,"[55, 161]",1,1.0,1.0,3
129,1,[131],0,0.0,0.0,3
