index,train-micro-misclf-rate,test-micro-misclf-rate,train-macro-misclf-rate,test-macro-misclf-rate,n-labeled-samples,n-true-labels-0,n-false-labels-0,n-true-labels-1,n-false-labels-1,n-true-labels-2,n-false-labels-2,n-true-labels-3,n-false-labels-3,n-true-labels-4,n-false-labels-4,n-true-labels-5,n-false-labels-5,n-true-labels,n-false-labels,times
0,0.436046511627907,0.5304347826086957,0.47436535589845696,0.49437927663734116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
1,0.28488372093023256,0.19130434782608696,0.5,0.5,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.018002986907958984
2,0.28488372093023256,0.19130434782608696,0.5,0.5,2,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0.015692710876464844
3,0.28488372093023256,0.19130434782608696,0.5,0.5,3,0,1,1,0,1,0,0,0,0,0,0,0,2,1,0.015507221221923828
4,0.28488372093023256,0.19130434782608696,0.5,0.5,4,0,1,1,0,1,0,1,0,0,0,0,0,3,1,0.01636195182800293
5,0.29651162790697677,0.16521739130434782,0.47129583540733366,0.39711632453567935,5,0,1,1,0,1,0,1,0,0,0,1,0,4,1,0.0157010555267334
6,0.29651162790697677,0.16521739130434782,0.47129583540733366,0.39711632453567935,6,0,1,1,0,1,0,1,0,1,0,1,0,5,1,0.016423940658569336
7,0.28488372093023256,0.14782608695652175,0.4693047950887672,0.38636363636363635,7,0,1,1,0,2,0,1,0,1,0,1,0,6,1,0.016697168350219727
8,0.27906976744186046,0.16521739130434782,0.47751783640285383,0.4318181818181818,8,0,1,1,0,2,0,2,0,1,0,1,0,7,1,0.016580820083618164
9,0.27906976744186046,0.1391304347826087,0.45910071345611414,0.36363636363636365,9,0,1,1,0,3,0,2,0,1,0,1,0,8,1,0.016129016876220703
10,0.27906976744186046,0.1391304347826087,0.45910071345611414,0.36363636363636365,10,0,1,2,0,3,0,2,0,1,0,1,0,9,1,0.017440080642700195
11,0.27906976744186046,0.1391304347826087,0.45910071345611414,0.36363636363636365,11,0,1,2,0,4,0,2,0,1,0,1,0,10,1,0.01664900779724121
12,0.27906976744186046,0.1391304347826087,0.45910071345611414,0.36363636363636365,12,1,1,2,0,4,0,2,0,1,0,1,0,11,1,0.017258882522583008
13,0.26744186046511625,0.14782608695652175,0.4571096731375477,0.38636363636363635,13,1,1,2,0,5,0,2,0,1,0,1,0,12,1,0.01714491844177246
14,0.26744186046511625,0.1565217391304348,0.4571096731375477,0.4090909090909091,14,1,1,2,0,5,0,2,0,2,0,1,0,13,1,0.01635575294494629
15,0.26744186046511625,0.1565217391304348,0.4571096731375477,0.4090909090909091,15,2,1,2,0,5,0,2,0,2,0,1,0,14,1,0.017103910446166992
16,0.26744186046511625,0.14782608695652175,0.4571096731375477,0.38636363636363635,15,2,1,2,0,5,0,2,0,3,0,1,0,15,1,0.01665496826171875
17,0.27325581395348836,0.1391304347826087,0.4427575908412146,0.3462854349951124,15,2,1,2,0,5,0,2,0,3,0,1,1,15,2,0.016483068466186523
18,0.27325581395348836,0.1391304347826087,0.4427575908412146,0.3462854349951124,15,2,1,2,1,5,0,2,0,3,0,1,1,15,3,0.01746511459350586
19,0.29069767441860467,0.1565217391304348,0.4488136718101875,0.3570381231671554,16,2,1,2,1,5,0,2,0,3,0,1,2,15,4,0.015938997268676758
20,0.29069767441860467,0.1565217391304348,0.4488136718101875,0.3570381231671554,17,2,1,2,1,6,0,2,0,3,0,1,2,16,4,0.016160964965820312
21,0.29069767441860467,0.1565217391304348,0.4488136718101875,0.3570381231671554,18,2,1,2,2,6,0,2,0,3,0,1,2,16,5,0.016817092895507812
22,0.27906976744186046,0.1565217391304348,0.4222664675626348,0.3049853372434017,19,2,1,2,2,6,1,2,0,3,0,1,2,16,6,0.017187118530273438
23,0.29069767441860467,0.1565217391304348,0.4488136718101875,0.3570381231671554,19,2,1,3,2,6,1,2,0,3,0,1,2,17,6,0.017045021057128906
24,0.28488372093023256,0.1565217391304348,0.44474863115978097,0.3570381231671554,20,2,1,3,2,6,1,2,0,4,0,1,2,18,6,0.017473220825195312
25,0.28488372093023256,0.1565217391304348,0.44474863115978097,0.3570381231671554,21,2,1,3,2,6,1,2,0,4,1,1,2,18,7,0.01624298095703125
26,0.28488372093023256,0.1565217391304348,0.44474863115978097,0.3570381231671554,22,2,1,3,2,6,1,2,0,5,1,1,2,19,7,0.01622486114501953
27,0.29069767441860467,0.1565217391304348,0.45495271279243404,0.3570381231671554,23,2,1,3,2,6,1,2,0,6,1,1,2,20,7,0.016195058822631836
28,0.29069767441860467,0.1565217391304348,0.45495271279243404,0.3570381231671554,24,2,1,3,2,6,1,2,0,7,1,1,2,21,7,0.016746997833251953
29,0.27325581395348836,0.16521739130434782,0.4243404678944748,0.3624144672531769,25,2,1,3,2,6,1,2,0,8,1,1,2,22,7,0.0161898136138916
30,0.26744186046511625,0.1565217391304348,0.41413638626182175,0.3396871945259042,26,2,1,3,2,6,1,2,0,8,1,2,2,23,7,0.01712822914123535
31,0.26744186046511625,0.1565217391304348,0.42027542724406836,0.3396871945259042,27,2,1,3,2,6,1,2,0,9,1,2,2,24,7,0.016630887985229492
32,0.26744186046511625,0.1565217391304348,0.42027542724406836,0.3396871945259042,28,2,1,3,2,6,1,2,0,9,2,2,2,24,8,0.016361236572265625
33,0.26744186046511625,0.1565217391304348,0.42027542724406836,0.3396871945259042,29,2,1,3,2,6,1,2,0,10,2,2,2,25,8,0.01670384407043457
34,0.2616279069767442,0.1565217391304348,0.4100713456114153,0.3396871945259042,30,3,1,3,2,6,1,2,0,10,2,2,2,26,8,0.016391277313232422
35,0.2558139534883721,0.1565217391304348,0.39986726397876227,0.3396871945259042,31,3,1,3,2,6,1,2,0,11,2,2,2,27,8,0.016368865966796875
36,0.2558139534883721,0.1565217391304348,0.39986726397876227,0.3396871945259042,32,3,1,3,2,6,1,2,0,12,2,2,2,28,8,0.01608586311340332
37,0.2441860465116279,0.1565217391304348,0.3794591007134561,0.3396871945259042,33,3,1,3,2,6,1,2,0,13,2,2,2,29,8,0.015764951705932617
38,0.2441860465116279,0.1565217391304348,0.3794591007134561,0.3396871945259042,34,4,1,3,2,6,1,2,0,13,2,2,2,30,8,0.015617847442626953
39,0.23837209302325582,0.1565217391304348,0.36925501908080305,0.3396871945259042,35,5,1,3,2,6,1,2,0,13,2,2,2,31,8,0.015519142150878906
40,0.23255813953488372,0.1565217391304348,0.35905093744815,0.3396871945259042,36,5,1,3,2,6,1,2,0,14,2,2,2,32,8,0.015836715698242188
41,0.23255813953488372,0.1565217391304348,0.35905093744815,0.3396871945259042,37,5,1,3,2,6,1,2,0,15,2,2,2,33,8,0.016112089157104492
42,0.22674418604651161,0.1565217391304348,0.34884685581549696,0.3396871945259042,38,5,1,3,2,6,1,2,0,15,2,3,2,34,8,0.01599597930908203
